data;zona;ospedale;diagnosi;numero_ricoveri
11/01/2025 00:00;Nord;Ospedale Niguarda;altre cause;4
11/01/2025 00:00;Nord;Ospedale Niguarda;trauma;3
11/01/2025 00:00;Nord;Ospedale Niguarda;cardiopatie;4
11/01/2025 00:00;Nord;Ospedale Niguarda;infezioni;3
11/01/2025 00:00;Nord;Ospedale Niguarda;problemi respiratori;2
11/01/2025 00:00;Est;Policlinico di Milano;altre cause;0
11/01/2025 00:00;Est;Policlinico di Milano;trauma;2
11/01/2025 00:00;Est;Policlinico di Milano;cardiopatie;2
11/01/2025 00:00;Est;Policlinico di Milano;infezioni;3
11/01/2025 00:00;Est;Policlinico di Milano;problemi respiratori;1
11/01/2025 00:00;Est;San Raffaele;altre cause;9
11/01/2025 00:00;Est;San Raffaele;trauma;0
11/01/2025 00:00;Est;San Raffaele;cardiopatie;3
11/01/2025 00:00;Est;San Raffaele;infezioni;3
11/01/2025 00:00;Est;San Raffaele;problemi respiratori;0
11/01/2025 00:00;Centro;Humanitas;altre cause;3
11/01/2025 00:00;Centro;Humanitas;trauma;1
11/01/2025 00:00;Centro;Humanitas;cardiopatie;2
11/01/2025 00:00;Centro;Humanitas;infezioni;4
11/01/2025 00:00;Centro;Humanitas;problemi respiratori;1
11/01/2025 00:00;Sud-Ovest;San Paolo;altre cause;9
11/01/2025 00:00;Sud-Ovest;San Paolo;trauma;0
11/01/2025 00:00;Sud-Ovest;San Paolo;cardiopatie;4
11/01/2025 00:00;Sud-Ovest;San Paolo;infezioni;4
11/01/2025 00:00;Sud-Ovest;San Paolo;problemi respiratori;0
11/01/2025 00:00;Sud-Ovest;Fatebenefratelli;altre cause;12
11/01/2025 00:00;Sud-Ovest;Fatebenefratelli;trauma;4
11/01/2025 00:00;Sud-Ovest;Fatebenefratelli;cardiopatie;2
11/01/2025 00:00;Sud-Ovest;Fatebenefratelli;infezioni;0
11/01/2025 00:00;Sud-Ovest;Fatebenefratelli;problemi respiratori;1
11/01/2025 00:00;Centro;Galeazzi;altre cause;9
11/01/2025 00:00;Centro;Galeazzi;trauma;0
11/01/2025 00:00;Centro;Galeazzi;cardiopatie;2
11/01/2025 00:00;Centro;Galeazzi;infezioni;7
11/01/2025 00:00;Centro;Galeazzi;problemi respiratori;1
11/01/2025 00:00;Nord;Buzzi;altre cause;7
11/01/2025 00:00;Nord;Buzzi;trauma;1
11/01/2025 00:00;Nord;Buzzi;cardiopatie;1
11/01/2025 00:00;Nord;Buzzi;infezioni;3
11/01/2025 00:00;Nord;Buzzi;problemi respiratori;2
11/01/2025 00:00;Nord;Sacco;altre cause;12
11/01/2025 00:00;Nord;Sacco;trauma;2
11/01/2025 00:00;Nord;Sacco;cardiopatie;0
11/01/2025 00:00;Nord;Sacco;infezioni;4
11/01/2025 00:00;Nord;Sacco;problemi respiratori;3
11/01/2025 00:00;Nord;Istituto dei Tumori;altre cause;9
11/01/2025 00:00;Nord;Istituto dei Tumori;trauma;8
11/01/2025 00:00;Nord;Istituto dei Tumori;cardiopatie;4
11/01/2025 00:00;Nord;Istituto dei Tumori;infezioni;1
11/01/2025 00:00;Nord;Istituto dei Tumori;problemi respiratori;1
12/01/2025 00:00;Nord;Ospedale Niguarda;altre cause;6
12/01/2025 00:00;Nord;Ospedale Niguarda;trauma;1
12/01/2025 00:00;Nord;Ospedale Niguarda;cardiopatie;1
12/01/2025 00:00;Nord;Ospedale Niguarda;infezioni;2
12/01/2025 00:00;Nord;Ospedale Niguarda;problemi respiratori;1
12/01/2025 00:00;Est;Policlinico di Milano;altre cause;1
12/01/2025 00:00;Est;Policlinico di Milano;trauma;0
12/01/2025 00:00;Est;Policlinico di Milano;cardiopatie;3
12/01/2025 00:00;Est;Policlinico di Milano;infezioni;0
12/01/2025 00:00;Est;Policlinico di Milano;problemi respiratori;0
12/01/2025 00:00;Est;San Raffaele;altre cause;10
12/01/2025 00:00;Est;San Raffaele;trauma;3
12/01/2025 00:00;Est;San Raffaele;cardiopatie;1
12/01/2025 00:00;Est;San Raffaele;infezioni;4
12/01/2025 00:00;Est;San Raffaele;problemi respiratori;1
12/01/2025 00:00;Centro;Humanitas;altre cause;2
12/01/2025 00:00;Centro;Humanitas;trauma;4
12/01/2025 00:00;Centro;Humanitas;cardiopatie;2
12/01/2025 00:00;Centro;Humanitas;infezioni;4
12/01/2025 00:00;Centro;Humanitas;problemi respiratori;2
12/01/2025 00:00;Sud-Ovest;San Paolo;altre cause;8
12/01/2025 00:00;Sud-Ovest;San Paolo;trauma;0
12/01/2025 00:00;Sud-Ovest;San Paolo;cardiopatie;4
12/01/2025 00:00;Sud-Ovest;San Paolo;infezioni;3
12/01/2025 00:00;Sud-Ovest;San Paolo;problemi respiratori;1
12/01/2025 00:00;Sud-Ovest;Fatebenefratelli;altre cause;11
12/01/2025 00:00;Sud-Ovest;Fatebenefratelli;trauma;4
12/01/2025 00:00;Sud-Ovest;Fatebenefratelli;cardiopatie;1
12/01/2025 00:00;Sud-Ovest;Fatebenefratelli;infezioni;2
12/01/2025 00:00;Sud-Ovest;Fatebenefratelli;problemi respiratori;2
12/01/2025 00:00;Centro;Galeazzi;altre cause;7
12/01/2025 00:00;Centro;Galeazzi;trauma;2
12/01/2025 00:00;Centro;Galeazzi;cardiopatie;2
12/01/2025 00:00;Centro;Galeazzi;infezioni;6
12/01/2025 00:00;Centro;Galeazzi;problemi respiratori;1
12/01/2025 00:00;Nord;Buzzi;altre cause;6
12/01/2025 00:00;Nord;Buzzi;trauma;1
12/01/2025 00:00;Nord;Buzzi;cardiopatie;1
12/01/2025 00:00;Nord;Buzzi;infezioni;0
12/01/2025 00:00;Nord;Buzzi;problemi respiratori;0
12/01/2025 00:00;Nord;Sacco;altre cause;13
12/01/2025 00:00;Nord;Sacco;trauma;4
12/01/2025 00:00;Nord;Sacco;cardiopatie;1
12/01/2025 00:00;Nord;Sacco;infezioni;3
12/01/2025 00:00;Nord;Sacco;problemi respiratori;0
12/01/2025 00:00;Nord;Istituto dei Tumori;altre cause;10
12/01/2025 00:00;Nord;Istituto dei Tumori;trauma;8
12/01/2025 00:00;Nord;Istituto dei Tumori;cardiopatie;1
12/01/2025 00:00;Nord;Istituto dei Tumori;infezioni;0
12/01/2025 00:00;Nord;Istituto dei Tumori;problemi respiratori;1
13/01/2025 00:00;Nord;Ospedale Niguarda;altre cause;4
13/01/2025 00:00;Nord;Ospedale Niguarda;trauma;5
13/01/2025 00:00;Nord;Ospedale Niguarda;cardiopatie;5
13/01/2025 00:00;Nord;Ospedale Niguarda;infezioni;4
13/01/2025 00:00;Nord;Ospedale Niguarda;problemi respiratori;28
13/01/2025 00:00;Est;Policlinico di Milano;altre cause;3
13/01/2025 00:00;Est;Policlinico di Milano;trauma;1
13/01/2025 00:00;Est;Policlinico di Milano;cardiopatie;6
13/01/2025 00:00;Est;Policlinico di Milano;infezioni;3
13/01/2025 00:00;Est;Policlinico di Milano;problemi respiratori;32
13/01/2025 00:00;Est;San Raffaele;altre cause;7
13/01/2025 00:00;Est;San Raffaele;trauma;3
13/01/2025 00:00;Est;San Raffaele;cardiopatie;2
13/01/2025 00:00;Est;San Raffaele;infezioni;4
13/01/2025 00:00;Est;San Raffaele;problemi respiratori;29
13/01/2025 00:00;Centro;Humanitas;altre cause;1
13/01/2025 00:00;Centro;Humanitas;trauma;4
13/01/2025 00:00;Centro;Humanitas;cardiopatie;1
13/01/2025 00:00;Centro;Humanitas;infezioni;4
13/01/2025 00:00;Centro;Humanitas;problemi respiratori;18
13/01/2025 00:00;Sud-Ovest;San Paolo;altre cause;9
13/01/2025 00:00;Sud-Ovest;San Paolo;trauma;0
13/01/2025 00:00;Sud-Ovest;San Paolo;cardiopatie;6
13/01/2025 00:00;Sud-Ovest;San Paolo;infezioni;2
13/01/2025 00:00;Sud-Ovest;San Paolo;problemi respiratori;26
13/01/2025 00:00;Sud-Ovest;Fatebenefratelli;altre cause;12
13/01/2025 00:00;Sud-Ovest;Fatebenefratelli;trauma;1
13/01/2025 00:00;Sud-Ovest;Fatebenefratelli;cardiopatie;2
13/01/2025 00:00;Sud-Ovest;Fatebenefratelli;infezioni;0
13/01/2025 00:00;Sud-Ovest;Fatebenefratelli;problemi respiratori;30
13/01/2025 00:00;Centro;Galeazzi;altre cause;8
13/01/2025 00:00;Centro;Galeazzi;trauma;1
13/01/2025 00:00;Centro;Galeazzi;cardiopatie;5
13/01/2025 00:00;Centro;Galeazzi;infezioni;7
13/01/2025 00:00;Centro;Galeazzi;problemi respiratori;18
13/01/2025 00:00;Nord;Buzzi;altre cause;8
13/01/2025 00:00;Nord;Buzzi;trauma;3
13/01/2025 00:00;Nord;Buzzi;cardiopatie;2
13/01/2025 00:00;Nord;Buzzi;infezioni;1
13/01/2025 00:00;Nord;Buzzi;problemi respiratori;27
13/01/2025 00:00;Nord;Sacco;altre cause;13
13/01/2025 00:00;Nord;Sacco;trauma;5
13/01/2025 00:00;Nord;Sacco;cardiopatie;1
13/01/2025 00:00;Nord;Sacco;infezioni;2
13/01/2025 00:00;Nord;Sacco;problemi respiratori;28
13/01/2025 00:00;Nord;Istituto dei Tumori;altre cause;9
13/01/2025 00:00;Nord;Istituto dei Tumori;trauma;8
13/01/2025 00:00;Nord;Istituto dei Tumori;cardiopatie;2
13/01/2025 00:00;Nord;Istituto dei Tumori;infezioni;2
13/01/2025 00:00;Nord;Istituto dei Tumori;problemi respiratori;31
14/01/2025 00:00;Nord;Ospedale Niguarda;altre cause;5
14/01/2025 00:00;Nord;Ospedale Niguarda;trauma;4
14/01/2025 00:00;Nord;Ospedale Niguarda;cardiopatie;2
14/01/2025 00:00;Nord;Ospedale Niguarda;infezioni;3
14/01/2025 00:00;Nord;Ospedale Niguarda;problemi respiratori;35
14/01/2025 00:00;Est;Policlinico di Milano;altre cause;1
14/01/2025 00:00;Est;Policlinico di Milano;trauma;3
14/01/2025 00:00;Est;Policlinico di Milano;cardiopatie;5
14/01/2025 00:00;Est;Policlinico di Milano;infezioni;2
14/01/2025 00:00;Est;Policlinico di Milano;problemi respiratori;37
14/01/2025 00:00;Est;San Raffaele;altre cause;9
14/01/2025 00:00;Est;San Raffaele;trauma;0
14/01/2025 00:00;Est;San Raffaele;cardiopatie;3
14/01/2025 00:00;Est;San Raffaele;infezioni;2
14/01/2025 00:00;Est;San Raffaele;problemi respiratori;35
14/01/2025 00:00;Centro;Humanitas;altre cause;1
14/01/2025 00:00;Centro;Humanitas;trauma;1
14/01/2025 00:00;Centro;Humanitas;cardiopatie;0
14/01/2025 00:00;Centro;Humanitas;infezioni;5
14/01/2025 00:00;Centro;Humanitas;problemi respiratori;20
14/01/2025 00:00;Sud-Ovest;San Paolo;altre cause;8
14/01/2025 00:00;Sud-Ovest;San Paolo;trauma;0
14/01/2025 00:00;Sud-Ovest;San Paolo;cardiopatie;6
14/01/2025 00:00;Sud-Ovest;San Paolo;infezioni;1
14/01/2025 00:00;Sud-Ovest;San Paolo;problemi respiratori;36
14/01/2025 00:00;Sud-Ovest;Fatebenefratelli;altre cause;13
14/01/2025 00:00;Sud-Ovest;Fatebenefratelli;trauma;1
14/01/2025 00:00;Sud-Ovest;Fatebenefratelli;cardiopatie;0
14/01/2025 00:00;Sud-Ovest;Fatebenefratelli;infezioni;2
14/01/2025 00:00;Sud-Ovest;Fatebenefratelli;problemi respiratori;34
14/01/2025 00:00;Centro;Galeazzi;altre cause;9
14/01/2025 00:00;Centro;Galeazzi;trauma;0
14/01/2025 00:00;Centro;Galeazzi;cardiopatie;4
14/01/2025 00:00;Centro;Galeazzi;infezioni;7
14/01/2025 00:00;Centro;Galeazzi;problemi respiratori;21
14/01/2025 00:00;Nord;Buzzi;altre cause;8
14/01/2025 00:00;Nord;Buzzi;trauma;5
14/01/2025 00:00;Nord;Buzzi;cardiopatie;5
14/01/2025 00:00;Nord;Buzzi;infezioni;1
14/01/2025 00:00;Nord;Buzzi;problemi respiratori;32
14/01/2025 00:00;Nord;Sacco;altre cause;14
14/01/2025 00:00;Nord;Sacco;trauma;3
14/01/2025 00:00;Nord;Sacco;cardiopatie;1
14/01/2025 00:00;Nord;Sacco;infezioni;2
14/01/2025 00:00;Nord;Sacco;problemi respiratori;31
14/01/2025 00:00;Nord;Istituto dei Tumori;altre cause;8
14/01/2025 00:00;Nord;Istituto dei Tumori;trauma;4
14/01/2025 00:00;Nord;Istituto dei Tumori;cardiopatie;3
14/01/2025 00:00;Nord;Istituto dei Tumori;infezioni;2
14/01/2025 00:00;Nord;Istituto dei Tumori;problemi respiratori;34
15/01/2025 00:00;Nord;Ospedale Niguarda;altre cause;4
15/01/2025 00:00;Nord;Ospedale Niguarda;trauma;5
15/01/2025 00:00;Nord;Ospedale Niguarda;cardiopatie;1
15/01/2025 00:00;Nord;Ospedale Niguarda;infezioni;4
15/01/2025 00:00;Nord;Ospedale Niguarda;problemi respiratori;32
15/01/2025 00:00;Est;Policlinico di Milano;altre cause;1
15/01/2025 00:00;Est;Policlinico di Milano;trauma;3
15/01/2025 00:00;Est;Policlinico di Milano;cardiopatie;3
15/01/2025 00:00;Est;Policlinico di Milano;infezioni;1
15/01/2025 00:00;Est;Policlinico di Milano;problemi respiratori;34
15/01/2025 00:00;Est;San Raffaele;altre cause;9
15/01/2025 00:00;Est;San Raffaele;trauma;0
15/01/2025 00:00;Est;San Raffaele;cardiopatie;1
15/01/2025 00:00;Est;San Raffaele;infezioni;1
15/01/2025 00:00;Est;San Raffaele;problemi respiratori;35
15/01/2025 00:00;Centro;Humanitas;altre cause;3
15/01/2025 00:00;Centro;Humanitas;trauma;1
15/01/2025 00:00;Centro;Humanitas;cardiopatie;1
15/01/2025 00:00;Centro;Humanitas;infezioni;4
15/01/2025 00:00;Centro;Humanitas;problemi respiratori;19
15/01/2025 00:00;Sud-Ovest;San Paolo;altre cause;8
15/01/2025 00:00;Sud-Ovest;San Paolo;trauma;1
15/01/2025 00:00;Sud-Ovest;San Paolo;cardiopatie;3
15/01/2025 00:00;Sud-Ovest;San Paolo;infezioni;5
15/01/2025 00:00;Sud-Ovest;San Paolo;problemi respiratori;33
15/01/2025 00:00;Sud-Ovest;Fatebenefratelli;altre cause;11
15/01/2025 00:00;Sud-Ovest;Fatebenefratelli;trauma;4
15/01/2025 00:00;Sud-Ovest;Fatebenefratelli;cardiopatie;2
15/01/2025 00:00;Sud-Ovest;Fatebenefratelli;infezioni;0
15/01/2025 00:00;Sud-Ovest;Fatebenefratelli;problemi respiratori;34
15/01/2025 00:00;Centro;Galeazzi;altre cause;9
15/01/2025 00:00;Centro;Galeazzi;trauma;2
15/01/2025 00:00;Centro;Galeazzi;cardiopatie;1
15/01/2025 00:00;Centro;Galeazzi;infezioni;5
15/01/2025 00:00;Centro;Galeazzi;problemi respiratori;21
15/01/2025 00:00;Nord;Buzzi;altre cause;7
15/01/2025 00:00;Nord;Buzzi;trauma;2
15/01/2025 00:00;Nord;Buzzi;cardiopatie;2
15/01/2025 00:00;Nord;Buzzi;infezioni;0
15/01/2025 00:00;Nord;Buzzi;problemi respiratori;29
15/01/2025 00:00;Nord;Sacco;altre cause;12
15/01/2025 00:00;Nord;Sacco;trauma;2
15/01/2025 00:00;Nord;Sacco;cardiopatie;1
